timestamp,movie,ciphersuite,key_size,integrity,frames,stream_size,stream_time
Tue Nov 01 18:30:37 WET 2022,cars,AES/OFB/NoPadding,32,SHA256,30517,41164.809000,130577
Tue Nov 01 18:33:36 WET 2022,cars,AES/CTR/NoPadding,48,SHA-1,30517,40798.605000,130576
Tue Nov 01 18:36:17 WET 2022,cars,AES/OFB/PKCS7Padding,32,SHA-1,30517,41012.224000,130577
Tue Nov 01 18:41:54 WET 2022,cars,AES/ECB/PKCS5Padding,64,SHA-1,30517,41012.224000,130577
Tue Nov 01 18:46:11 WET 2022,cars,AES/OFB/PKCS7Padding,48,SHA256,30517,41500.496000,130578
Tue Nov 01 18:51:03 WET 2022,cars,AES/OFB/PKCS5Padding,48,SHA256,30517,41500.496000,130578
Tue Nov 01 18:53:25 WET 2022,cars,AES/OFB/NoPadding,32,SHA-1,30517,40798.605000,130576
Tue Nov 01 18:58:29 WET 2022,cars,AES/GCM/NoPadding,48,SHA-1,30517,41286.877000,130582
Tue Nov 01 19:07:04 WET 2022,cars,RC6/CTR/PKCS5Padding,32,SHA256,30517,41500.496000,130577
Tue Nov 01 19:10:11 WET 2022,cars,BLOWFISH/CTR/PKCS7Padding,16,SHA256,30517,41256.360000,130578
Tue Nov 01 19:12:55 WET 2022,cars,AES/ECB/PKCS7Padding,64,HmacSHA256,30517,41500.496000,130577
Tue Nov 01 19:15:12 WET 2022,cars,RC6/ECB/PKCS7Padding,32,SHA256,30517,41500.496000,130577
Tue Nov 01 19:31:19 WET 2022,cars,BLOWFISH/ECB/PKCS7Padding,112,SHA256,30517,41256.360000,130577
Tue Nov 01 19:38:26 WET 2022,cars,BLOWFISH/ECB/PKCS7Padding,16,SHA256,30517,41256.360000,130578
Tue Nov 01 20:00:37 WET 2022,cars,BLOWFISH/ECB/PKCS5Padding,112,SHA256,30517,41256.360000,130578
Tue Nov 01 20:11:18 WET 2022,cars,RC6/CTR/PKCS5Padding,32,null,30517,40523.952000,130577
Tue Nov 01 20:15:47 WET 2022,cars,RC6/CTR/NoPadding,32,SHA256,30517,41164.809000,130578
Tue Nov 01 20:21:21 WET 2022,cars,RC6/ECB/PKCS5Padding,32,SHA-1,30517,41012.224000,130578
Tue Nov 01 20:34:56 WET 2022,cars,BLOWFISH/ECB/PKCS5Padding,32,null,30517,40279.816000,130578
Tue Nov 01 20:38:01 WET 2022,cars,RC6/CTR/PKCS7Padding,32,HmacSHA512,30517,42477.040000,130579
Tue Nov 01 20:40:21 WET 2022,cars,BLOWFISH/CTR/PKCS5Padding,32,SHA256,30517,41256.360000,130577
Tue Nov 01 20:49:05 WET 2022,cars,AES/GCM/NoPadding,64,null,30517,40676.537000,130580
Tue Nov 01 20:51:28 WET 2022,cars,AES/CTR/PKCS5Padding,32,SHA256,30517,41500.496000,130577
Tue Nov 01 20:55:26 WET 2022,cars,BLOWFISH/CTR/PKCS5Padding,64,null,30517,40279.816000,130578
Tue Nov 01 21:34:09 WET 2022,cars,AES/CTR/PKCS5Padding,32,null,30517,40523.952000,130578
Tue Nov 01 21:36:28 WET 2022,cars,AES/CTR/PKCS7Padding,32,SHA256,30517,41500.496000,130577
Tue Nov 01 22:00:37 WET 2022,cars,BLOWFISH/OFB/PKCS5Padding,32,null,30517,40279.816000,130577
Tue Nov 01 22:03:43 WET 2022,cars,RC6/GCM/NoPadding,32,SHA-1,30517,41286.877000,130582
Tue Nov 01 22:18:07 WET 2022,cars,RC6/ECB/PKCS5Padding,32,SHA256,30517,41500.496000,130577
Tue Nov 01 22:26:26 WET 2022,cars,BLOWFISH/CTR/NoPadding,16,SHA-1,30517,40798.605000,130577
Tue Nov 01 22:30:56 WET 2022,cars,BLOWFISH/ECB/PKCS5Padding,112,null,30517,40279.816000,130577
Tue Nov 01 22:33:24 WET 2022,cars,BLOWFISH/ECB/PKCS5Padding,112,SHA256,30517,41256.360000,130577
Tue Nov 01 22:36:11 WET 2022,cars,BLOWFISH/CTR/NoPadding,16,HmacSHA256,30517,41164.809000,130578
Tue Nov 01 22:42:16 WET 2022,cars,RC6/OFB/NoPadding,32,HmacSHA256,30517,41164.809000,130577
Tue Nov 01 22:49:34 WET 2022,cars,AES/GCM/NoPadding,48,HmacSHA512,30517,42629.625000,130586
Tue Nov 01 22:53:34 WET 2022,cars,AES/GCM/NoPadding,64,SHA256,30517,41653.081000,130582
Tue Nov 01 22:55:55 WET 2022,cars,RC6/GCM/NoPadding,32,SHA-1,30517,41286.877000,130582
Tue Nov 01 23:13:09 WET 2022,cars,AES/CFB/PKCS5Padding,32,SHA-1,30517,41012.224000,130577
Tue Nov 01 23:25:14 WET 2022,cars,AES/CFB/PKCS7Padding,64,SHA-1,30517,41012.224000,130577
Tue Nov 01 23:27:33 WET 2022,cars,BLOWFISH/CFB/PKCS7Padding,64,null,30517,40279.816000,130578
Tue Nov 01 23:32:07 WET 2022,cars,BLOWFISH/CFB/PKCS5Padding,64,SHA256,30517,41256.360000,130578
Tue Nov 01 23:35:18 WET 2022,cars,RC6/GCM/NoPadding,32,SHA256,30517,41653.081000,130583
Tue Nov 01 23:42:31 WET 2022,cars,AES/CTR/PKCS5Padding,48,SHA256,30517,41500.496000,130578
Tue Nov 01 23:45:30 WET 2022,cars,RC6/CFB/NoPadding,32,null,30517,40188.265000,130577
Tue Nov 01 23:47:48 WET 2022,cars,AES/ECB/PKCS5Padding,64,null,30517,40523.952000,130578
Tue Nov 01 23:50:08 WET 2022,cars,AES/OFB/NoPadding,32,SHA-1,30517,40798.605000,130577
Tue Nov 01 23:52:46 WET 2022,cars,AES/OFB/PKCS7Padding,32,null,30517,40523.952000,130576
Tue Nov 01 23:56:40 WET 2022,cars,AES/CFB/NoPadding,64,null,30517,40188.265000,130577
Wed Nov 02 00:05:10 WET 2022,cars,BLOWFISH/OFB/PKCS5Padding,16,null,30517,40279.816000,130576
